course_identifier,course_name,subject_code,subject_name,school_code,school_name,section,call_number,instructors,enrollment_count,enrollment_max,enrollment_status,days_times,mil_time_from,mil_time_to
EEEBW1010,HUMAN ORIGINS & EVOLUTION,EEEB,,SAS,,AU1,17983,Jill S Shapiro,4,4,F,MW 11:40AM-12:55PM,11:40,12:55
EEEBW1010,HUMAN ORIGINS & EVOLUTION,EEEB,,SAS,,001,13625,Jill S Shapiro,32,86,O,MW 11:40AM-12:55PM,11:40,12:55
EHSCP8317,Frameworks for Environmental Health Policy,EHSC,,SPUB,,001,14367,Darby W Jack,16,35,O,T 8:30AM-11:20AM,08:30,11:20
EHSCP8312,Principles of Toxicology,EHSC,,SPUB,,001,14366,Allison Kupsco,18,35,O,M 1:00PM-3:50PM,13:00,15:50
EHSCP8308,Molecular Toxicology,EHSC,,SPUB,,001,14365,Greg A Freyer,16,35,O,M 4:30PM-7:20PM,16:30,19:20
EHSCP8307,Molecular Epidemiology,EHSC,,SPUB,,001,14364,"Julie B Herbstman, Maya A Kappil",30,32,O,W 1:00PM-3:50PM,13:00,15:50
EHSCP8306,Occupational and Environmental Hygiene,EHSC,,SPUB,,001,14363,Christopher F Pettinato,20,35,O,R 5:00PM-7:50PM,17:00,19:50
EHSCP8301,Atmospheric and Climate Science for Public Health,EHSC,,SPUB,,001,14362,Robbie Parks,14,35,O,TR 10:00AM-11:20AM,10:00,11:20
EHSCP6350,Exposure Assessment,EHSC,,SPUB,,001,14361,"Markus Hilpert, Nina Kulacki",2,30,O,T 4:00PM-6:50PM,16:00,18:50
EHSCP6320,Fundamentals of Toxicology for Health-related Disciplines,EHSC,,SPUB,,001,14360,Diane Re,18,30,O,M 2:30PM-5:20PM,14:30,17:20
EHSCP9395,DOCTORAL RESEARCH IN ENVIRONMENTAL HLTH,EHSC,,SPUB,,001,14377,Nina Kulacki,9,30,O,,,
EHSCP9370,Journal Club in Environmental Health Sciences,EHSC,,SPUB,,001,14376,Alan Cohen,12,30,O,M 1:00PM-2:00PM,13:00,14:00
EHSCP9361,Master's Essay Research I,EHSC,,SPUB,,001,14375,Nina Kulacki,,30,O,,,
EHSCP9303,Applied Environmental Public Health Science,EHSC,,SPUB,,D01,14374,Gabriele Windgasse,11,30,O,,,
EHSCP8371,Public Health GIS,EHSC,,SPUB,,001,14372,Joel Capellan,29,30,O,W 1:00PM-3:50PM,13:00,15:50
EHSCP8371,Public Health GIS,EHSC,,SPUB,,002,14373,Joel Capellan,21,30,O,W 5:30PM-8:20PM,17:30,20:20
EHSCP8336,Experimental Methods in Biomarkers Research,EHSC,,SPUB,,001,14371,Maya A Kappil,11,30,O,R 2:30PM-3:50PM,14:30,15:50
EHSCP8335,Quantitative Methods in Biomarkers Research,EHSC,,SPUB,,001,14370,Julie B Herbstman,11,30,O,R 1:00PM-2:20PM,13:00,14:20
EHSCP8328,Biology of Health and Aging,EHSC,,SPUB,,001,17435,Alan Cohen,3,25,O,T 1:00PM-3:50PM,13:00,15:50
EHSCP8325,"Risk Assessment, Communication, and Management",EHSC,,SPUB,,001,14369,Michael P Musso,30,35,O,T 5:30PM-8:20PM,17:30,20:20
EHSCP8318,Science Basic to Public Health Practice,EHSC,,SPUB,,001,14368,Norman Kleiman,6,30,O,W 4:00PM-6:50PM,16:00,18:50
EHSCP6300,Environmental Health Sciences,EHSC,,SPUB,,001,14359,Ana Navas Acien,14,35,O,R 1:00PM-3:50PM,13:00,15:50
SDEVW4550,The New York City Watershed: From Community Displacement to Collaboration and Climate Adaptation,SDEV,,SAS,,001,11008,Marcia N Macedo,31,36,O,,,
SDEVW3998,SUPERVISED INDIVIDUAL RESEARCH,SDEV,,SAS,,001,11006,Adela J Gondek,4,30,O,,,
SDEVW3390,GIS FOR SUSTAINABLE DEVELOPMNT,SDEV,,SAS,,001,11005,Kytt J Macmanus,13,16,O,M 11:40AM-1:55PM,11:40,13:55
SDEVW3390,GIS FOR SUSTAINABLE DEVELOPMNT,SDEV,,SAS,,001,11005,Kytt J Macmanus,13,16,O,W 11:40AM-12:55PM,11:40,12:55
SDEVW3366,ENERGY LAW,SDEV,,SAS,,001,11379,Michael Gerrard,35,40,O,T 4:20PM-6:10PM,16:20,18:10
SDEVW3320,ECON & FIN MTHDS FOR SDEV,SDEV,,SAS,,001,11004,Satyajit Bose,19,40,O,MW 11:40AM-12:55PM,11:40,12:55
SDEVW3310,ETHICS OF SUSTAINABLE DEVPT,SDEV,,SAS,,001,11089,Adela J Gondek,13,40,O,TR 1:10PM-2:25PM,13:10,14:25
SDEVW3280,WORKSHOP IN SUSTAINABLE DEVPT,SDEV,,SAS,,001,11009,Jenna M Lawrence,13,15,O,MW 2:10PM-4:00PM,14:10,16:00
SDEVW3280,WORKSHOP IN SUSTAINABLE DEVPT,SDEV,,SAS,,002,11086,Sharon S Mathews,9,15,O,TR 4:10PM-6:00PM,16:10,18:00
SDEVW2050,ENVIRONMENTAL POLICY AND GOVERNANCE,SDEV,,SAS,,001,14910,Christine Appah-Gyamfi,27,30,O,MW 10:10AM-11:25AM,10:10,11:25
SDEVW4650,Building Climate Justice: Co-Creative Coastal Resilience Planning,SDEV,,SAS,,001,11007,"Paul A Gallay, Gregory G Yetman",16,20,O,M 4:10PM-5:25PM,16:10,17:25
SDEVW4650,Building Climate Justice: Co-Creative Coastal Resilience Planning,SDEV,,SAS,,001,11007,"Paul A Gallay, Gregory G Yetman",16,20,O,W 2:10PM-4:00PM,14:10,16:00
SDEVW4640,"NATURE, SCIENCE & THE STATE",SDEV,,SAS,,001,12923,Leah V Aronowsky,13,20,O,T 2:10PM-4:00PM,14:10,16:00
